Sentencing County,Offense Type,Sentence Years,Sentence Months
Cook,Person Crimes,0002,000
Champaign,Person Crimes,0007,000
St. Clair,Person Crimes,0006,000
Adams,Person Crimes,0002,006
Winnebago,Person Crimes,0005,000
Kendall,Person Crimes,0005,000
Grundy,Sex Crimes,0008,000
Cook,Person Crimes,0003,000
Lake,Drug Crimes,0005,000
Christian,Property Crimes,0005,000
St. Clair,Property Crimes,0004,000
Cook,Person Crimes,0001,000
Livingston,Person Crimes,0002,000
Macon,Property Crimes,0003,006
Cook,Sex Crimes,0008,000
Cook,Property Crimes,0003,000
Champaign,Person Crimes,0004,000
Cook,Person Crimes,0001,000
Will,Property Crimes,0002,000
Macon,Person Crimes,0001,006
Macon,Person Crimes,0001,006
Cook,Person Crimes,0001,000
Perry,Drug Crimes,0003,006
Cook,Person Crimes,0004,000
Winnebago,Drug Crimes,0006,000
Cook,Person Crimes,0001,000
Champaign,Person Crimes,0008,000
Kankakee,Drug Crimes,0004,000
Sangamon,Person Crimes,0000,018
Cook,Person Crimes,0006,000
Lee,Sex Crimes,SDP, 
Cook,Person Crimes,0010,000
Cook,Person Crimes,0003,006
Cook,Person Crimes,0005,000
Tazewell,Person Crimes,0015,000
Ford,Drug Crimes,0007,000
Jersey,Property Crimes,0002,000
Cook,Person Crimes,0021,000
Fayette,Drug Crimes,0006,000
Cook,Person Crimes,0010,006
Will,Property Crimes,0003,000
Cook,Person Crimes,0018,000
Cook,Person Crimes,0000,030
Cook,Person Crimes,0010,000
Clay,Drug Crimes,0004,000
Cook,Property Crimes,0004,000
Fayette,Property Crimes,0004,000
Franklin,Sex Crimes,0000,030
Cook,Person Crimes,0003,000
Macoupin,Person Crimes,0003,000
Cook,Other Crimes,0004,000
Cook,Property Crimes,0003,000
Cook,Property Crimes,0000,028
Cook,Person Crimes,0010,000
Vermilion,Drug Crimes,0015,000
Cook,Person Crimes,0005,000
Jefferson,Drug Crimes,0006,000
Wabash,Drug Crimes,0002,009
Cook,Person Crimes,0003,000
Rock Island,Person Crimes,0000,018
Cook,Person Crimes,0006,000
McLean,Drug Crimes,0004,000
Cook,Person Crimes,0048,000
Winnebago,Sex Crimes,0003,000
Cook,Person Crimes,0001,000
Champaign,Property Crimes,0002,006
